Age,mg25_ppm
64861,854.3234896
64862,883.2427791
64863,893.3997792
64864,885.282924
64865,874.1851041
64866,882.0678302
64867,895.7304907
64868,899.2403031
64869,893.9867465
64870,878.2689625
64871,857.0335987
64872,852.2358551
64873,863.1968843
64874,852.1864857
64875,823.7590146
64876,792.0199239
64877,775.1449332
64878,814.4338075
64879,856.6823353
64880,840.4675526
64881,789.6786727
64882,743.5072379
64883,743.3476003
64884,724.2245057
64885,708.3969793
64886,701.8706
64887,705.9561142
64888,748.0621623
64889,799.9754759
64890,809.4898436
64891,759.2066049
64892,704.1026448
64893,670.6904809
64894,669.5041381
64895,669.8442355
64896,689.8175265
64897,695.1751805
64898,701.2516854
64899,733.9418028
64900,762.1647594
64901,799.430384
64902,806.8989607
64903,837.6449879
64904,860.6932476
64905,859.3385701
64906,878.283145
64907,897.6591813
64908,889.1089978
64909,823.2987383
64910,762.2169269
64911,731.3554533
64912,716.9082936
64913,704.0875473
64914,695.3759966
64915,702.1072371
64916,690.0215067
64917,685.6779655
64918,693.9248719
64919,711.6068414
64920,727.8606743
64921,745.7798961
64922,754.5624845
64923,746.7361348
64924,733.4169024
64925,722.6007751
64926,711.0965787
64927,706.1886282
64928,739.1879095
64929,783.202851
64930,787.2210786
64931,771.218642
64932,721.5246283
64933,663.0369506
64934,637.4058384
64935,670.6956704
64936,683.5605449
64937,669.7445117
64938,672.8221475
64939,698.9067905
64940,703.3942475
64941,684.3370869
64942,681.1444887
64943,670.5594284
64944,657.0329535
64945,651.377435
64946,661.6121154
64947,671.1502571
64948,683.2664301
64949,706.8317766
64950,741.4928135
64951,758.2227313
64952,744.2945885
64953,734.4541967
64954,761.6539381
64955,787.9867495
64956,789.7619079
64957,760.4108642
64958,738.4584624
64959,735.1449076
64960,760.0432153
64961,807.928902
64962,839.0421818
64963,829.4180647
64964,812.8917998
64965,821.0284443
64966,846.8478201
64967,856.9361481
64968,872.0195698
64969,894.0480103
64970,916.5652638
64971,939.3307218
64972,986.9686303
64973,1015.157866
64974,991.2164465
64975,967.6971531
64976,988.9400098
64977,1050.691971
64978,1076.094057
64979,1062.542341
64980,1036.961535
64981,1022.919595
64982,1037.804554
64983,1038.675023
64984,1012.240312
64985,973.1728303
64986,963.3983225
64987,970.2784703
64988,994.0255229
64989,1015.718717
64990,1037.998618
64991,1065.172669
64992,1066.721935
64993,1027.375767
64994,997.8877768
64995,1008.674016
64996,1031.514496
64997,1013.109504
64998,987.8584977
64999,980.8463896
65000,987.4852685
65001,985.13968
65002,991.8041974
65003,1029.999119
65004,1079.812125
65005,1083.233549
65006,1068.751851
65007,1067.97623
65008,1081.428375
65009,1062.83046
65010,1025.847793
65011,1016.60964
65012,1025.552267
65013,1018.872607
65014,1013.094138
65015,1030.267206
65016,1046.791952
65017,1049.047168
65018,1045.057434
65019,1052.850608
65020,1060.368
65021,1078.608459
65022,1080.406439
65023,1058.46259
65024,1059.956291
65025,1061.823251
65026,1057.65207
65027,1041.043019
65028,1038.245767
65029,1051.285615
65030,1038.37564
65031,1033.109371
65032,1018.710939
65033,1027.990267
65034,1035.006664
65035,1020.99213
65036,1008.74622
65037,1013.964258
65038,1027.669571
65039,1035.629129
65040,1029.502349
65041,1039.461549
65042,1014.879478
65043,1001.002265
65044,1021.343645
65045,1036.990294
65046,1065.18601
65047,1055.825654
65048,1060.739999
65049,1043.809211
65050,1019.480187
65051,1042.611756
65052,1091.877148
65053,1094.357108
65054,1043.17153
65055,1017.086632
65056,1068.055346
65057,1112.3478
65058,1123.933572
65059,1087.618613
65060,1061.740754
65061,1120.377315
65062,1165.911533
65063,1159.023053
65064,1142.603648
65065,1145.736937
